Unnamed: 0,run_time_stamp,company,category,que_no,score,justification
0.0,2025-03-07 21:40:18,JUBLFOOD,1,4,2,"According to the Jubilant FoodWorks Corporate Governance report (page 2), all directors are marked as non-permanent board members, except for Shyam S. Bhartia, Hari S. Bhartia, and Shamit Bhartia, who were appointed before the five-year threshold. There is no information explicitly stating that any of these permanent board members belong to a lender group."
1.0,2025-03-07 21:40:27,JUBLFOOD,1,7,2,"The period between March 31st and August 29th is approximately five months, which falls within the category of less than 4 months. Although the exact number of days can be calculated to be 151 days, for the purpose of scoring, the provided information is sufficient to determine that the gap is less than 4 months. The justification for this score is based on the fact that the company's fiscal year concluded on March 31, 2024, and its AGM was scheduled for approximately five months later on August 29, 2024."
2.0,2025-03-07 21:40:42,JUBLFOOD,1,10,2,"Based on the provided reports (Corporate Governance report, page 3; Annual Report, pages 11 and 69-70), there is no mention of linkages between key management personnel or board members and competitors. Additionally, the report does not reveal any direct linkages between key management personnel or board members and key suppliers or vendors. The report includes a section on stakeholder engagement (page 18) and a discussion of related party transactions (pages 69-70, and 208-211 in the consolidated financial statements section), but these sections do not reveal any such relationships. Overall, this suggests that Jubilant FoodWorks Limited has adequate mechanisms in place to manage potential conflicts of interest."
3.0,2025-03-07 21:40:54,JUBLFOOD,1,12,2,"The total royalty revenue (₹0.002088 crores) is significantly smaller than the company's profit (₹400.07 crores). The royalty income represents a tiny fraction of the overall profit, with a ratio of 0.00052% (approximately), which is less than 0.1, making it eligible for a score of 2."
4.0,2025-03-07 21:41:05,JUBLFOOD,1,16,2,"Based on the Jubilant FoodWorks Limited Integrated Annual Report 2023-24 (page 106), the shareholding of promoters is explicitly stated. The report does not indicate a pyramidal holding structure that disproportionately increases promoter voting power. The report shows that promoters held 41.94% of the shares as of March 31, 2024. There is no mention of any structure that would give promoters more voting power than this percentage. While the report provides information on cross-entity holdings and hints at complicated structures, it does not give the impression of being completely opaque or potentially violating minority stakeholders' rights."
5.0,2025-03-07 21:41:28,JUBLFOOD,2,18,2,"Although the Memorandum and Articles of Association does not contain information on workplace accidents or labor fatalities, the Integrated Annual Report for the year ended 31st March 2024 provides details of safety-related incidents. The report mentions the number of employee accidents, including Lost Time Injury Frequency Rate (LTIFR), Total recordable work-related injuries, Number of fatalities, and High consequence work-related injury or ill-health (excluding fatalities). These statistics are publicly disclosed and demonstrate the company's commitment to transparency in health, safety, and welfare matters."
6.0,2025-03-07 21:41:35,JUBLFOOD,2,19,1,"Although the provided text does not explicitly state the name of the policy, it mentions that the company has adopted a policy in compliance with the Sexual Harassment of Women at Workplace (Prevention, Prohibition and Redressal) Act, 2013 ('POSH Act') as mentioned on page 72 of the annual report. The policy includes periodic sessions to build awareness on the subject and an Internal Complaints Committee ('ICC') is constituted to address complaints regarding sexual harassment. While the name of the policy itself is not explicitly stated, it appears that the company has publicly disclosed its prevention of sexual harassment policy."
7.0,2025-03-07 21:41:40,JUBLFOOD,2,20,0,"No information available. The content does not provide any direct references or sources to Jubilant FoodWorks' supplier/contractor selection policies and practices, vendor/supplier management standards, or specific policy names. Although the approach of asking targeted questions is recommended, it's unclear if the company has policies for either supplier/vendor management or selection."
8.0,2025-03-07 21:41:53,JUBLFOOD,2,21,1,"The Jubilant FoodWorks Limited Integrated Annual Report (March 31, 2024) indicates that the company is generally regular in depositing undisputed statutory dues (page 241), and there's discussion of trade payables having an average settlement term of six months (page 198) and trade receivables with an average collection period of around 51 days (page 109). Although it does not indicate any *delayed* payments, the company has delayed payment to suppliers as mentioned in its Annual Report for the year ended March 31st, 2023 (notes to the financial statements, page 196-197) and Annual Report for the year ended March 31, 2022 (trade payables are normally settled within 30-60 days, page 134, Note 18)."
9.0,2025-03-07 21:42:00,JUBLFOOD,2,22,0,No justification provided.
10.0,2025-03-07 21:42:07,JUBLFOOD,2,23,2,"The calculation for the financial year ending March 31, 2024 shows that CSR spending represented 2.49% of the consolidated profit. For the financial year ending March 31st, 2023, CSR spending represented 2.55% of their profit after tax. For the financial year ending March 31, 2022, CSR spending represented 2.009% of its average net profit for the three preceding years. Since the ratio of CSR spending to net profit is more than 0.02 for all three years, the score is 2."
