,run_time_stamp,company,category,que_no,score,justification
0,2025-03-07 21:40:18,JUBLFOOD,1,4,2,"According to the Jubilant FoodWorks Corporate Governance report (page 2), all directors are marked as non-permanent board members, except for Shyam S. Bhartia, Hari S. Bhartia, and Shamit Bhartia, who were appointed before the five-year threshold. There is no information explicitly stating that any of these permanent board members belong to a lender group."
1,2025-03-07 21:40:27,JUBLFOOD,1,7,2,"The period between March 31st and August 29th is approximately five months, which falls within the category of less than 4 months. Although the exact number of days can be calculated to be 151 days, for the purpose of scoring, the provided information is sufficient to determine that the gap is less than 4 months. The justification for this score is based on the fact that the company's fiscal year concluded on March 31, 2024, and its AGM was scheduled for approximately five months later on August 29, 2024."
2,2025-03-07 21:40:42,JUBLFOOD,1,10,2,"Based on the provided reports (Corporate Governance report, page 3; Annual Report, pages 11 and 69-70), there is no mention of linkages between key management personnel or board members and competitors. Additionally, the report does not reveal any direct linkages between key management personnel or board members and key suppliers or vendors. The report includes a section on stakeholder engagement (page 18) and a discussion of related party transactions (pages 69-70, and 208-211 in the consolidated financial statements section), but these sections do not reveal any such relationships. Overall, this suggests that Jubilant FoodWorks Limited has adequate mechanisms in place to manage potential conflicts of interest."
3,2025-03-07 21:40:54,JUBLFOOD,1,12,2,"The total royalty revenue (₹0.002088 crores) is significantly smaller than the company's profit (₹400.07 crores). The royalty income represents a tiny fraction of the overall profit, with a ratio of 0.00052% (approximately), which is less than 0.1, making it eligible for a score of 2."
4,2025-03-07 21:41:05,JUBLFOOD,1,16,2,"Based on the Jubilant FoodWorks Limited Integrated Annual Report 2023-24 (page 106), the shareholding of promoters is explicitly stated. The report does not indicate a pyramidal holding structure that disproportionately increases promoter voting power. The report shows that promoters held 41.94% of the shares as of March 31, 2024. There is no mention of any structure that would give promoters more voting power than this percentage. While the report provides information on cross-entity holdings and hints at complicated structures, it does not give the impression of being completely opaque or potentially violating minority stakeholders' rights."
5,2025-03-07 21:41:28,JUBLFOOD,2,18,2,"Although the Memorandum and Articles of Association does not contain information on workplace accidents or labor fatalities, the Integrated Annual Report for the year ended 31st March 2024 provides details of safety-related incidents. The report mentions the number of employee accidents, including Lost Time Injury Frequency Rate (LTIFR), Total recordable work-related injuries, Number of fatalities, and High consequence work-related injury or ill-health (excluding fatalities). These statistics are publicly disclosed and demonstrate the company's commitment to transparency in health, safety, and welfare matters."
6,2025-03-07 21:41:35,JUBLFOOD,2,19,1,"Although the provided text does not explicitly state the name of the policy, it mentions that the company has adopted a policy in compliance with the Sexual Harassment of Women at Workplace (Prevention, Prohibition and Redressal) Act, 2013 ('POSH Act') as mentioned on page 72 of the annual report. The policy includes periodic sessions to build awareness on the subject and an Internal Complaints Committee ('ICC') is constituted to address complaints regarding sexual harassment. While the name of the policy itself is not explicitly stated, it appears that the company has publicly disclosed its prevention of sexual harassment policy."
7,2025-03-07 21:41:40,JUBLFOOD,2,20,0,"No information available. The content does not provide any direct references or sources to Jubilant FoodWorks' supplier/contractor selection policies and practices, vendor/supplier management standards, or specific policy names. Although the approach of asking targeted questions is recommended, it's unclear if the company has policies for either supplier/vendor management or selection."
8,2025-03-07 21:41:53,JUBLFOOD,2,21,1,"The Jubilant FoodWorks Limited Integrated Annual Report (March 31, 2024) indicates that the company is generally regular in depositing undisputed statutory dues (page 241), and there's discussion of trade payables having an average settlement term of six months (page 198) and trade receivables with an average collection period of around 51 days (page 109). Although it does not indicate any *delayed* payments, the company has delayed payment to suppliers as mentioned in its Annual Report for the year ended March 31st, 2023 (notes to the financial statements, page 196-197) and Annual Report for the year ended March 31, 2022 (trade payables are normally settled within 30-60 days, page 134, Note 18)."
9,2025-03-07 21:42:00,JUBLFOOD,2,22,0,No justification provided.
10,2025-03-07 21:42:07,JUBLFOOD,2,23,2,"The calculation for the financial year ending March 31, 2024 shows that CSR spending represented 2.49% of the consolidated profit. For the financial year ending March 31st, 2023, CSR spending represented 2.55% of their profit after tax. For the financial year ending March 31, 2022, CSR spending represented 2.009% of its average net profit for the three preceding years. Since the ratio of CSR spending to net profit is more than 0.02 for all three years, the score is 2."
11,2025-03-07 21:45:37,JUBLFOOD,3,28,2,"The independent auditor's report (both consolidated and standalone) expresses an unqualified opinion on the financial statements, without any matter of emphasis or qualification. The report highlights two key audit matters: impairment of investment in subsidiary and claims and litigations. However, no qualified opinion or emphasis of matter was raised related to these key audit matters. Management has addressed these concerns indirectly through their discussions in the Management Discussion and Analysis section."
12,2025-03-07 21:45:45,JUBLFOOD,3,32,0,"No information available. Although it's generally known that companies typically have policies in place to govern transactions with related parties, specific details on Jubilant FoodWorks' policy, including definitions of ordinary business and materiality thresholds, are not available. Additionally, there is no explicitly named policy for external auditor review of material related party transactions mentioned in the provided Memorandum and Articles of Association."
13,2025-03-07 21:45:54,JUBLFOOD,3,36,1,"Although the shareholding pattern is transparently disclosed, the annual report does not explicitly list the top 10 shareholder names. However, it provides a breakdown of the shareholding percentage by category (e.g., Promoter Holding, Mutual Funds, Banks, etc.). This information can be found on page 106 of the Jubilant FoodWorks Limited Integrated Annual Report 2023-24. Source: Jubilant FoodWorks Limited Integrated Annual Report 2023-24, page 106."
14,2025-03-07 21:46:00,JUBLFOOD,3,37,0,"Shareholding information is not consistently provided across all Board members, and it is not available at all for Key Management Personnel. Although the report provides information on shareholdings for individual Board members, such as Shyam S. Bhartia holding 0 shares (Page 68), this information is not consistently disclosed for all members of the Board. Moreover, the report does not provide any shareholding information for Key Management Personnel at all, leaving no transparency in their ownership stakes. Therefore, a score of 0 is awarded as per the scoring criteria."
15,2025-03-07 21:46:10,JUBLFOOD,3,38,2,"The company has a dividend distribution policy and publicly available information about its dividend payout ratio. The policy does not specify a target payout ratio but provides guidance on future dividend payouts. Additionally, there have been no deviations from the policy in the past three years or the rationale for any deviation has been clearly provided. Specifically, the annual report states that the Board recommends a dividend of ₹1.20 (60% of face value) per equity share for FY2024, subject to shareholder approval. Although there was a deviation from the payout ratio in FY2023 (22.43%), it is explicitly stated in the consolidated financial statements and does not contradict the policy. Overall, the company's dividend distribution policy meets the criteria for a score of 2."
