run_time_stamp,company,category,que_no,score,justification
3/1/25 9:05,PAYTM,2,18,2,"Paytm has publicly disclosed its health and safety policies, including the Policy on Prevention of Sexual Harassment of Women at Workplace (POSH) and Equal Employment Opportunity Policy for Persons with Disabilities. Additionally, the company's Employee Learning & Development Policy (Version 1.0) focuses on proactive risk mitigation through training and awareness programs, which indirectly contributes to a safer work environment. The policies also emphasize the importance of creating an inclusive and non-discriminatory work environment. Furthermore, Paytm's Annual Report (FY24) reveals that there were no accidents involving employees during the year and no fatalities. References: Policy on Prevention of Sexual Harassment of Women at Workplace (POSH), page 33; Equal Employment Opportunity Policy for Persons with Disabilities, page 43; Employee Learning & Development Policy (Version 1.0); Paytm Annual Report (FY24), pages 126-128."
3/1/25 9:05,PAYTM,2,19,2,"The company has publicly disclosed its policy on prevention of sexual harassment, titled 'Policy on Prevention of Sexual Harassment of Women at Workplace (POSH)' and details a formal redressal mechanism. The document also outlines procedures for preventing such incidents, receiving complaints, conducting inquiries, and providing remedies. Additionally, the company's Annual Report 2024 mentions that it has a constituted Internal Complaints Committee (“ICC”) to address complaints, and employees receive mandatory training on the POSH policy annually. Although there is no information on specific sexual harassment incidents, the report does mention one complaint pending from the previous fiscal year (2022-23) that was resolved during 2023-24. This suggests that the company has provided information on the number of sexual harassment incidents and publicly disclosed its prevention of sexual harassment policy."
3/1/25 9:05,PAYTM,2,20,1,"Paytm has explicit policies concerning Information Security, which includes some aspects of supplier selection and management, primarily focusing on security. However, a dedicated and comprehensive policy specifically detailing the full criteria for supplier/vendor selection and a full management framework is not present in these extracts. The existence of a separate ""Supplier Relationship Management Policy"" is mentioned, but its content is unavailable in these document extracts. Therefore, while there is evidence of security-focused processes, a complete picture of Paytm's supplier selection and management policies is not available from the provided documents alone."
3/1/25 9:05,PAYTM,2,21,0,"Yes, the annual report of One 97 Communications Limited as of March 31, 2024, indicates some delayed repayments to lenders, creditors, and suppliers (Annexure 1 to the Independent Auditor's Report, page 182). The report notes overdue amounts for undisputed statutory dues, including goods and service tax, employee state insurance, income tax, etc. This suggests that the company has delayed payments to certain parties. Although the report does not explicitly label all these as 'delayed', it notes overdue amounts and explains the circumstances surrounding them."
3/1/25 9:05,PAYTM,2,22,2,"Paytm's policies, as found on their website, demonstrate a comprehensive commitment to ethical conduct, anti-corruption, and anti-bribery measures, with clear consequences for non-compliance. The **Anti-Bribery and Corruption Policy** clearly states that One97 Communications Limited has zero tolerance for bribery and corruption in any form, outlining measures such as prohibition on bribery and facilitation payments, internal controls to prevent and detect violations, compliance with anti-bribery and anti-money laundering laws, and reporting mechanisms for concerns. The policies demonstrate a clear commitment to ethical standards and anti-corruption practices, making Paytm's overall score 2."
3/1/25 9:06,PAYTM,3,28,2,"The auditor's report expresses an unmodified opinion on both standalone and consolidated financial statements, indicating that no major concerns or qualified opinions were raised. The auditors highlighted two key audit matters in the standalone report and three in the consolidated report, but their opinions remained unmodified. There is no mention of auditor resignation due to a difference of opinion or any suspicious reason."
3/1/25 9:06,PAYTM,3,32,2,"The One 97 Communications Limited **Policy on Related Party Transactions (Version 4.0)** defines 'ordinary course of business' and clarifies that these criteria are not exhaustive, and the company will assess each transaction considering its specific nature and circumstances. The policy also covers the definition and materiality of transactions, defining 'Material Related Party Transaction' as a transaction exceeding INR 1,000 Crore or ten percent of the annual consolidated turnover of the Company. Furthermore, it defines 'Material Modification' as a change resulting in either a reduction or increase in the revenue or cost by 10% or more of the overall amount approved. However, there is no mention of a requirement for external auditors to review material related party transactions."
3/1/25 9:24,PAYTM,3,36,2,"The company transparently discloses the information about the shareholding pattern and top 10 shareholders in its annual report. The shareholding pattern is presented on page 90, breaking down the shareholding into categories such as Promoter and Promoter Group, Public Shareholding, and Non-Institutional Investor. Each category has specific numbers listed. Additionally, the annual report lists the top 10 shareholders holding more than 1% of the shares as on March 31, 2024, including exact percentage shareholding for each entity on page 88. Furthermore, the report clarifies that Mr. Vijay Shekhar Sharma is the sole Significant Beneficial Owner (SBO) of the Company as of August 14, 2023."
3/1/25 9:24,PAYTM,3,37,0,"Based on the provided corporate governance report, the shareholding information for board members and key management personnel is not explicitly listed in a tabular format providing both the number of shares and percentage of total shares. The report does provide shareholding information categorized by shareholder type (Promoter & Promoter Group, Public, etc.), but it does not break down holdings to individual board members or key management personnel. Therefore, I cannot fulfill your request to list all board members and key management personnel and their shareholding information as it is not present in the provided document. The shareholding pattern sections only show aggregate data for categories of shareholders (Promoters, Public, etc.) and not the breakdown for individual directors."
3/1/25 9:24,PAYTM,3,38,1,"Although One97 Communications Limited has a Dividend Distribution Policy that outlines parameters for determining dividend distribution, it does not specify a fixed dividend payout ratio. The policy emphasizes that the Board retains discretion in determining dividend payout. Although there have been deviations from the policy (no dividend was declared in FY 2022-23 and FY 2024 due to lack of profits), the company's annual reports provide clear guidance on the reasons for these deviations, which is acceptable under the scoring criteria."
