run_time_stamp,company,category,que_no,score,justification
2025-02-26 19:34:00,SHREECEM,1,4,1,"Although two directors, Hari Mohan Bangur and Prashant Bangur, are marked as permanent board members, it is explicitly mentioned that their initial appointment dates were older than 5 years. Since there is no indication that these directors are representatives of lenders, I score this 1. The report does not provide any information about the lenders' involvement in appointing these board members."
2025-02-26 19:34:09,SHREECEM,1,7,2,"The gap between FYE (Financial Year End) and AGM was calculated to be 128 days, which is less than 120 days. This indicates that the company conducted its annual general meeting within a relatively short period after the financial year end, suggesting transparency and promptness in shareholder communication. The calculation of the gap was based on the number of days between March 31st and August 6th, 2024, with references provided to page numbers (Page 4 for FYE and Page 1 for AGM) and date ranges (March has 31 days, April-May-June-July have 30-31 days each, and August has 6 days). This demonstrates a clear and transparent approach in disclosing financial information and meeting schedules."
2025-02-26 19:34:21,SHREECEM,1,10,2,"Shree Cement Limited has a policy addressing conflict of interest, specifically within its 'Ethics, Transparency and Accountability Policy and Code of Conduct' obtained from the company website. The policy explicitly addresses potential conflicts arising from business dealings with stakeholders. There is no information available that suggests incidents or information which suggests that the company has incidents of stakeholder conflict of interest. Based on publicly available information, it appears that there is no conflict of interest with stakeholders as well as policy covers all stakeholders including suppliers and vendors."
2025-02-26 19:34:38,SHREECEM,2,18,2,"Shree Cement Limited has publicly disclosed its health, safety, and welfare related policies, including the Occupational Health and Safety Policy, Health & Safety Policy, Corporate Environmental Policy, and Sustainable Procurement Policy. The company also provides information on workplace accidents and labor fatalities in its Integrated Annual Report 2023-24. The report includes data on Lost Time Injury Frequency Rate (LTIFR), Total Recordable work-related injuries, Total Recordable Injury Frequency Rate (TRIFR), and Fatalities. Although the policies do not explicitly provide a specific number of employee accidents or labour fatalities, the company has publicly disclosed its health and safety policies, which indicates a commitment to providing a safe and healthy workplace for all employees and workers."
2025-02-26 19:34:46,SHREECEM,2,19,2,"Shree Cement Limited has publicly disclosed its policy regarding sexual harassment, titled **'PROHIBITION OF SEXUAL HARRASSMENT POLICY'**, which outlines measures to prevent and address sexual harassment. The company has also provided information on the number of sexual harassment cases, stating that no complaints or cases were received during the current or previous reporting year (Integrated Annual Report 2023-24, page 138). The policy details a process for making complaints, investigating incidents, and taking disciplinary actions against those found guilty of sexual harassment. Additionally, the company has established Internal Complaints Committees at all operational locations to handle such complaints. Overall, Shree Cement Limited has demonstrated a commitment to preventing and addressing sexual harassment in the workplace."
2025-02-26 19:34:55,SHREECEM,2,20,2,"Shree Cement has policies in place for both supplier/vendor selection and management. The 'Sustainable Procurement Policy' outlines criteria and processes for selecting and managing suppliers to meet defined standards, including a grievance mechanism and remediation process for non-compliance. Additionally, the policy is supported by the 'Supplier Code of Conduct', which sets expectations for suppliers regarding labor and human rights, health and safety, ethics and integrity, environmental impact, and product quality. The source of this information is explicitly stated as being policies extracted from the company's website."
2025-02-26 19:35:07,SHREECEM,2,21,1,"The auditor's report states that 'there were no undisputed amounts payable in respect of Goods and Service tax, Provident Fund, Employees' State Insurance, Income Tax, Sales Tax, Service Tax, duty of Custom, duty of Excise, Value Added Tax, Cess and other material statutory dues in arrears as at 31st March, 2024 for a period of more than six months from the date they became payable.' Additionally, it notes that there were no defaults in repayment of loans or other borrowings, or in the payment of interest thereon to any lenders. However, Note 22 on pages 238-239 details outstanding dues, but does not mention delayed repayments to suppliers. The report also mentions undisputed statutory dues that had not been deposited as of March 31st, 2023 due to disputes, but does not specify whether these represent overdue payments to creditors or suppliers."
2025-02-26 19:35:40,SHREECEM,3,28,2,No justification provided.
2025-02-26 19:35:54,SHREECEM,3,32,2,"Shree Cement Limited has a dedicated policy for Related Party Transactions, which is comprehensive and meets all the criteria. The policy defines 'ordinary course of business', specifies materiality thresholds, and outlines the review and approval process for related party transactions. Although external auditors are involved in preparing financial statements used for threshold determination, they are not explicitly tasked with reviewing the transactions themselves. However, the Audit Committee is empowered to define material modifications and reviews such transactions."
2025-02-26 19:36:01,SHREECEM,3,36,1,"Although the annual report does not explicitly list the names of the top 10 shareholders, it provides a breakdown by shareholder category on Page 172-173. Additionally, the report mentions that the register of members maintained by the company's Registrar and Share Transfer Agent (RTA) contains this information. This meets the criteria of having either the shareholding pattern or the annual report with the top 10 shareholder names."
