run_time_stamp,company,category,que_no,score,justification
2025-02-26 10:59:18,SHREECEM,1,4,1,"Based on the analysis of the board members' permanency, Hari Mohan Bangur and Prashant Bangur are marked as permanent board members. However, it is not explicitly mentioned that they are representatives of lenders, so the score is 1."
2025-02-26 10:59:26,SHREECEM,1,7,2,"The gap between the financial year ending (FYE) on 31st March 2024 and the Annual General Meeting (AGM) on 28th July 2023 is calculated to be 3 months and 28 days. Since this falls below the threshold of 4 months, the score for this criterion is 2. The information was found in the Shree Cement Limited Integrated Annual Report 2023-24."
2025-02-26 10:59:38,SHREECEM,2,18,2,"The company has publicly disclosed its health and safety policies, including the Occupational Health and Safety Policy, which outlines measures for preventing occupation-related injuries, accidents, and illnesses. Additionally, the Corporate Environmental Policy and Sustainable Procurement Policy extend to the company's suppliers and vendors in relation to health, safety and welfare. Although there is no specific information on workplace accidents or labor fatalities in the policies, the Integrated Annual Report 2023-24 provides this information."
2025-02-26 10:59:43,SHREECEM,2,19,2,"The company has publicly disclosed its prevention of sexual harassment policy titled 'PROHIBITION OF SEXUAL HARRASSMENT POLICY' and has provided information on the number of sexual harassment incidents, specifically stating that no complaints or cases were received during the current or previous reporting year."
2025-02-26 10:59:51,SHREECEM,2,20,2,"Shree Cement has policies in place for both supplier/vendor selection and management, which are outlined in the 'Sustainable Procurement Policy' and supported by the 'Supplier Code of Conduct'. The policy mentions several standards for supplier/vendor selection, including compliance with laws and regulations, social and environmental parameters, supplier assessments, and training and awareness. It also addresses supplier management through a grievance mechanism and remediation process."
2025-02-26 10:59:59,SHREECEM,2,21,2,"Based on the provided Shree Cement Limited Annual Report as of 31st March 2024 and 2023, there are no indications of delayed payments to lenders, creditors, or suppliers. The auditor's report states that there were no defaults in repayment of loans or other borrowings, or in the payment of interest thereon to any lenders. Additionally, the notes to the financial statements indicate that no overdue amounts were outstanding at the balance sheet date for loans provided by the Company."
2025-02-26 11:00:27,SHREECEM,3,28,2,"The auditor's report does not indicate any qualified opinion or emphasis of matter. It states that there are no qualifications or adverse remarks in the CARO reports, and the consolidated financial statements give a true and fair view in conformity with Indian Accounting Standards. Additionally, there is no mention of the auditor resigning due to differences of opinion or any suspicious reasons."
2025-02-26 11:00:33,SHREECEM,3,32,2,"The Shree Cement Limited Policy on Related Party Transactions addresses the definition of ordinary course of business, defines and outlines materiality of transactions, and mentions the involvement of external auditors. Although it does not explicitly mandate a review by external auditors, it does mention the Audit Committee's role in reviewing such transactions."
2025-02-26 11:00:39,SHREECEM,3,36,1,"Although the shareholding pattern is transparently disclosed, the top 10 shareholder names are not explicitly mentioned in the annual report. However, the report provides a breakdown by shareholder category and indicates that the information is available from the Registrar and Share Transfer Agent (RTA)."
2025-02-26 11:00:44,SHREECEM,3,37,0,"No shareholding information available for both board members and key management personnel. Although some board members have disclosed their shareholding patterns, there are four directors who do not provide any information. Additionally, no shareholding information is provided for key management personnel."
