run_time_stamp,company,category,que_no,score,justification
2/26/25 17:57,SHREECEM,1,4,0,"According to the 'Profile of Directors' section (pages 118-121) and the 'Corporate Governance' section (pages 108-115), there is no mention of any board member belonging to a lender group. Moreover, since all directors except Hari Mohan Bangur and Prashant Bangur are not considered permanent board members (as per the analysis provided on page 2), it can be inferred that none of them are representatives of lenders."
2/26/25 17:58,SHREECEM,1,7,2,"The last financial year ended on 31st March 2024 (FYE). This information is found on page 4 of the Shree Cement Limited Integrated Annual Report 2023-24. The last Annual General Meeting (AGM) was scheduled on 28th July 2023. This information is found on page 166 of the same report. The gap between the FYE and the AGM is 3 months and 28 days, which falls within the category of less than 4 months. Therefore, the score is 2. The justification for this score is that the gap between the FYE and the AGM is less than 4 months, making it an excellent governance practice."
2/26/25 18:01,SHREECEM,1,10,2,"Shree Cement Limited has a policy addressing conflict of interest, specifically within its 'Ethics, Transparency and Accountability Policy and Code of Conduct' obtained from the company website. The policy explicitly addresses potential conflicts arising from business dealings with stakeholders, including suppliers and vendors. Additionally, based on the provided corporate governance report (page 3), as of December 31st, 2024, the Audit Committee does not include any executive directors or non-independent directors, indicating a separation between the committee's composition and key management personnel. Finally, the Shree Cement Limited Annual Report (31st March 2024) does not disclose any linkages between key management personnel or board members and significant suppliers or vendors that could create a conflict of interest."
2/26/25 18:04,SHREECEM,1,12,2,"The ratio of royalty payments to related parties to the profit of the company is less than 0.1 (0%). Since there are no royalty transactions, it means that the royalty payments to related parties account for a negligible proportion of the company's profit after tax. Reference: [No specific reference provided]"
2/26/25 18:05,SHREECEM,1,12,2,"The ratio of the royalty payments to the related parties to the company's profit is calculated as 0 (since the total amount of royalty transactions is 0). Since this ratio is less than 0.1, I score it a 2 according to the criteria. The calculation is based on the information provided: 'total amount of royalty transactions is **0**' and 'company's profit after tax of ₹2,468.44 Crore'."
2/26/25 18:08,SHREECEM,1,12,2,"Since the ratio of royalty payments to related parties to the company's profit is less than 0.1 (specifically, 0%), which falls within the criteria for a score of 2. The justification is based on the statement 'comparing this to the company's profit after tax of ₹2,468.44 Crore, the royalty payments represent 0% of the profit.'"
2/26/25 19:11,SHREECEM,1,4,1,"Although there are two directors (Hari Mohan Bangur and Prashant Bangur) who are marked as permanent board members, it is explicitly stated that their initial appointment dates were prior to March 31st, 2019, which suggests that they may be representatives of lenders. Therefore, based on the provided information, I score this report a 1."
2/26/25 19:11,SHREECEM,1,7,2,"The gap between the FYE (31st March 2024) and the AGM (28th July 2023) is **3 months and 28 days**, which falls within the criteria of less than 4 months. This information was found on page 166 of the Shree Cement Limited Integrated Annual Report 2023-24."
2/26/25 19:11,SHREECEM,1,10,2,"Shree Cement Limited has a policy addressing conflict of interest, specifically within its 'Ethics, Transparency and Accountability Policy and Code of Conduct' which explicitly addresses potential conflicts arising from business dealings with stakeholders, political and charitable contributions. The company also does not include any executive directors or non-independent directors in the Audit Committee, as per the provided corporate governance report (page 3). Additionally, there is no mention of any linkages between key management personnel or board members and significant suppliers or vendors in the annual report. However, it's worth noting that the policy does not explicitly address board cross-linkages and does not prohibit an executive director from serving on the Audit Committee."
2/26/25 19:11,SHREECEM,1,12,2,"The ratio of royalty payments to related parties to the company's profit is less than 0.1, which is 0%. This is because there are no royalty transactions mentioned in the text. The text only provides information about the company's profit, but does not mention any royalty payments or related party transactions. Therefore, the score is 2 as per the criteria."
2/26/25 19:11,SHREECEM,1,16,2,"The content suggests that there is no explicit evidence of pyramidal holding structures that could violate minority stakeholders' rights. The report provides information on the shareholding pattern, but it does not reveal any internal distribution of shares within the promoter group to determine if a pyramidal structure exists (page 170). Additionally, while the report notes some opacity regarding ultimate beneficial ownership due to trusts/institutions holding 'beneficial interest', it does not provide further details on the structure or beneficiaries. Furthermore, the report lists subsidiaries and their shareholdings in a relatively straightforward manner, indicating no complex or circular ownership patterns (page 177). Overall, there is no indication that minority stakeholders' rights could be violated by these structures or mechanisms."
