run_time_stamp,company,category,que_no,score,justification
3/1/25 0:07,TATAMOTORS,1,4,2,"Based on the analysis of Tata Motors Limited Integrated Annual Report 2023-24, it is found that all directors are marked as non-permanent board members. There is no mention of any board member belonging to a lender group as of March 31, 2024 (page 14). Therefore, according to the scoring criteria, this company scores 2, as all directors are classified as non-permanent."
3/1/25 0:07,TATAMOTORS,1,7,1,"The gap between FYE (March 31, 2024) and AGM (June 24, 2024) is calculated to be 2 months and 23 days. This falls within the range of 120 to 180 days, as per the scoring criteria. The information was extracted from page 1 (Last AGM scheduled: Monday, June 24, 2024) and page 4 (FYE: March 31, 2024) of the Tata Motors Annual Report."
3/1/25 0:08,TATAMOTORS,1,10,2,"The Tata Motors policy addresses potential conflicts of interest arising from various relationships, including those with employees, value-chain partners, financial stakeholders, and government. The policy emphasizes transparency, fair dealing, and compliance with the law, all of which would be essential components of mitigating the risks associated with board interlocks or cross-linkages. Additionally, the company's reports do not disclose any instances of direct linkages between key management personnel or board members and key suppliers or vendors, competitors, or government officials, suggesting that the company adheres to its policy in practice."
3/1/25 0:08,TATAMOTORS,1,12,2,"Since the ratio of the royalty payments to the related parties to the profit of the company is less than 0.1, we score this as a 2. The total amount of royalty transactions (0) is significantly less than the company's profit (31,807 crores), which further supports our scoring decision. No information available on related party transactions."
3/1/25 0:08,TATAMOTORS,1,16,2,"The report provides information on shareholding structure, voting rights, and cross-entity holdings without indicating any unusually complicated structures or mechanisms that could violate minority stakeholders' rights. The report highlights the consolidated reporting across entities, various subsidiaries under Tata Motors Limited, and financial responsibility among group entities, which suggests a relatively straightforward ownership structure. Additionally, the descriptions of transactions and compliance show close interlinkages and subject to regulations aimed at inter-company collaboration and transparency. Therefore, based on this information, it appears that there is no evidence that the structures or mechanisms could violate minority stakeholders' rights."
3/1/25 0:08,TATAMOTORS,2,18,2,"The policies are publicly disclosed and the company has provided information on the number of employee accidents. The 'Tata Code of Conduct 2015' document contains sections that directly relate to employee health, safety, and welfare, including equal opportunity employment, dignity and respect, human rights, and bribery and corruption. Additionally, the policy emphasizes the creation of a conducive work environment built on tolerance, understanding, and respect for individual privacy, which prohibits harassment of any kind. Although there is no explicit mention of supplier/vendor health, safety, and welfare, the company does provide information on workplace accidents and labor fatalities in its Business Responsibility & Sustainability Report (BRSR) section. Reference: Tata Motors' website, 'Tata Code of Conduct 2015', page [not specified], and Tata Motors Limited 79th Integrated Annual Report (2023-24), page 114."
3/1/25 0:08,TATAMOTORS,2,19,2,"Based on the provided text, Tata Motors' website mentions policies and mechanisms to prevent sexual harassment in the workplace without explicitly stating a 'Sexual Harassment Policy'. However, it emphasizes its zero tolerance for sexual harassment. Additionally, the Annual Report (Page 141) confirms that the company has a policy titled 'Policy on Prevention, Prohibition and Redressal of sexual harassment at workplace' which received 11 complaints in FY24, with 7 being closed according to company processes. This information indirectly supports the broader objective of a harassment-free work environment. The company's commitment to organizing over 300 awareness workshops also demonstrates its efforts to prevent sexual harassment."
3/1/25 0:08,TATAMOTORS,2,20,1,"Tata Motors has policies and practices related to supplier/vendor selection, as evident from the **Supplier/Vendor Selection** section in the document, which specifically outlines principles for selecting suppliers and service providers (section G of the Tata Code of Conduct 2015). However, while the company mentions vendor management indirectly through compliance to the Code of Conduct and anti-bribery policy, it does not provide a formal, comprehensive *supplier/vendor management policy* with detailed control mechanisms and standards. Therefore, I score this as 1, indicating that policies are available for either supplier/contractor management or selection (in this case, supplier/vendor selection) but not both."
3/1/25 0:08,TATAMOTORS,2,21,1,"While there are amounts listed as overdue in the 2022 Annual Report, specifically trade payables exceeding six months totaling ₹2,111.78 crores, it's not explicitly stated that these were 'delayed' payments. The report clarifies that a significant portion (₹513.90 crores) is from government organizations in India and considered recoverable. Similarly, the 2023 Annual Report notes outstanding amounts due to suppliers, vendors, but does not indicate delayed repayment to lenders."
3/1/25 0:09,TATAMOTORS,2,23,2,"Tata Motors spent ₹20.81 crore on CSR activities during the financial year ending March 31, 2023, which is more than or equal to 0.02 times of their standalone profit after tax (₹2,728 crore). Therefore, based on our scoring criteria, Tata Motors receives a score of 2."
3/1/25 0:09,TATAMOTORS,3,28,2,No justification provided.
