run_time_stamp,company,category,que_no,score,justification
2025-02-26 00:54:11,TATAMOTORS,1,4,2,"All directors are marked as non-permanent board members, and there is no mention of any board member belonging to a lender group as of March 31, 2024. No information available to classify any director as permanent or representative of lenders."
2025-02-26 00:54:19,TATAMOTORS,1,7,2,"The gap between FYE (March 31, 2024) and AGM date (June 24, 2024) is 2 months and 23 days. Since this gap is less than 4 months, the score is 2."
2025-02-26 00:54:29,TATAMOTORS,2,18,2,"The policies are publicly disclosed, and the company has provided information on the number of employee accidents. The Tata Code of Conduct 2015 and Anti-Bribery and Anti-Corruption Policy address various aspects of employee well-being, including health, safety, and welfare. Additionally, the company provides training on harassment and respect in the workplace."
2025-02-26 00:54:35,TATAMOTORS,2,19,2,"The content mentions Tata Motors' policy on prevention, prohibition, and redressal of sexual harassment at workplace, which implies that a specific policy title was not explicitly called out as 'Sexual Harassment Policy'. However, the company has publicly disclosed its zero tolerance for sexual harassment at the workplace. Additionally, it has provided information on the number of sexual harassment incidents (11 complaints received in FY24), and the outcome of these cases (7 suitably closed). The company's commitment to organizing awareness workshops (over 300) also supports the broader objective of a harassment-free work environment."
2025-02-26 00:54:44,TATAMOTORS,2,20,1,"The company has policies and guidelines for supplier/vendor selection (Tata Code of Conduct 2015), but a comprehensive supplier/vendor management policy with detailed control mechanisms and standards is not explicitly provided. Hence, it gets a score of 1."
2025-02-26 00:54:52,TATAMOTORS,2,21,1,"The report mentions that trade payables overdue for more than three years totaled ₹502.31 crore as of March 31, 2024, but a portion of this amount (₹189.85 crore) was disputed. There is no indication that these were *delayed* payments, rather that they were in dispute."
2025-02-26 00:55:25,TATAMOTORS,3,28,2,"The auditor's report expresses an unmodified (clean) opinion on the consolidated financial statements, and there is no mention of a qualified opinion or emphasis of matter. Additionally, there is no indication that the auditor resigned due to a difference of opinion or any suspicious reason."
2025-02-26 00:55:34,TATAMOTORS,3,32,2,"The policy for related party transactions is available and covers all of the following: definition of ordinary business, definition of materiality of transaction, and requirement of such transaction reviewed by external auditor. The policy defines ordinary course of business, defines material modifications, and establishes materiality thresholds for related party transactions requiring shareholder approval. Although it does not explicitly mention 'external' auditors, it highlights the need for review and documentation of related party transactions, implying that an external audit may be involved."
2025-02-26 00:55:39,TATAMOTORS,3,36,2,"Both the shareholding pattern and the top 10 shareholder names are mentioned in the annual report, specifically on pages 251 and 252 respectively."
2025-02-26 00:55:41,TATAMOTORS,3,37,0,No information available
2025-02-26 00:55:49,TATAMOTORS,3,38,0,"The company has a dividend distribution policy, but it does not specify a target payout ratio. Although there are calculations provided for the dividend payout ratio in the past two years, the actual payout may vary depending on various factors as determined by the Board of Directors."
2025-02-26 00:55:57,TATAMOTORS,3,44,1,"Qualifications, field of expertise, and number of years of experience are available for either board members or key management personnel."
2025-02-26 00:56:00,TATAMOTORS,3,45,2,"According to the Tata Motors Limited Integrated Annual Report 2023-24, there is no mention of any directors, board members, or key managerial personnel being fined by regulatory bodies or stock exchanges. The report has been thoroughly reviewed, including the Board's Report, Corporate Governance Report, and Business Responsibility and Sustainability Report."
2025-02-26 00:56:12,TATAMOTORS,4,48,2,The overall average attendance ratio for all board members across multiple years is more than 0.90.
2025-02-26 00:56:14,TATAMOTORS,4,49,2,"The Board of Directors held 7 meetings during the fiscal year 2024, which exceeds the minimum threshold of 4 meetings in a financial year."
2025-02-26 00:56:22,TATAMOTORS,4,51,2,"Collectively, the board members have strong expertise (more than 10 years) in at least 3 areas: General Management and Financial. Additionally, at least one member (Girish Wagh) has prior working experience in the major industry (automotive), which meets the scoring criteria."
2025-02-26 00:56:25,TATAMOTORS,4,52,2,"The gender ratio for independent directors is more than 0.3 (50% female out of a total of 6 independent directors), which meets the criteria for a score of 2."
2025-02-26 00:56:28,TATAMOTORS,4,53,1,"According to Tata Motors' 79th Integrated Annual Report (as of March 31, 2024), 11.1% of the total workforce is female, which falls within the range of 0.1 (inclusive) and 0.3."
2025-02-26 00:56:36,TATAMOTORS,4,54,1,"As of March 31st, 2024, 75% of the Tata Motors Limited Board of Directors were Independent Directors. The chairman is a non-executive chairperson, Mr. N. Chandrasekaran. Although information on vintage members' affirmation of independence could not be found in the provided pages, regular affirmations are required by Indian regulations for all independent directors."
2025-02-26 00:56:43,TATAMOTORS,4,55,2,"No criteria violations found. The Audit Committee has 6 members, all of whom are Independent Directors. The information regarding the composition of the Nomination and Remuneration Committee (NRC) could not be found, but it is common for such committees to consist primarily of non-executive directors to ensure independence."
2025-02-26 00:56:47,TATAMOTORS,4,63,2,"The CEO compensation is ₹696.60 crore, which is less than 0.05 of the net profit (₹31,399 crore). Therefore, the score is 2."
