run_time_stamp,company,category,que_no,score,justification
2025-02-26 00:54:11,TATAMOTORS,1,4,2,"All directors are marked as non-permanent board members, and there is no mention of any board member belonging to a lender group as of March 31, 2024. No information available to classify any director as permanent or representative of lenders."
2025-02-26 00:54:19,TATAMOTORS,1,7,2,"The gap between FYE (March 31, 2024) and AGM date (June 24, 2024) is 2 months and 23 days. Since this gap is less than 4 months, the score is 2."
2025-02-26 00:54:29,TATAMOTORS,2,18,2,"The policies are publicly disclosed, and the company has provided information on the number of employee accidents. The Tata Code of Conduct 2015 and Anti-Bribery and Anti-Corruption Policy address various aspects of employee well-being, including health, safety, and welfare. Additionally, the company provides training on harassment and respect in the workplace."
2025-02-26 00:54:35,TATAMOTORS,2,19,2,"The content mentions Tata Motors' policy on prevention, prohibition, and redressal of sexual harassment at workplace, which implies that a specific policy title was not explicitly called out as 'Sexual Harassment Policy'. However, the company has publicly disclosed its zero tolerance for sexual harassment at the workplace. Additionally, it has provided information on the number of sexual harassment incidents (11 complaints received in FY24), and the outcome of these cases (7 suitably closed). The company's commitment to organizing awareness workshops (over 300) also supports the broader objective of a harassment-free work environment."
2025-02-26 00:54:44,TATAMOTORS,2,20,1,"The company has policies and guidelines for supplier/vendor selection (Tata Code of Conduct 2015), but a comprehensive supplier/vendor management policy with detailed control mechanisms and standards is not explicitly provided. Hence, it gets a score of 1."
2025-02-26 00:54:52,TATAMOTORS,2,21,1,"The report mentions that trade payables overdue for more than three years totaled ₹502.31 crore as of March 31, 2024, but a portion of this amount (₹189.85 crore) was disputed. There is no indication that these were *delayed* payments, rather that they were in dispute."
2025-02-26 00:55:25,TATAMOTORS,3,28,2,"The auditor's report expresses an unmodified (clean) opinion on the consolidated financial statements, and there is no mention of a qualified opinion or emphasis of matter. Additionally, there is no indication that the auditor resigned due to a difference of opinion or any suspicious reason."
2025-02-26 00:55:34,TATAMOTORS,3,32,2,"The policy for related party transactions is available and covers all of the following: definition of ordinary business, definition of materiality of transaction, and requirement of such transaction reviewed by external auditor. The policy defines ordinary course of business, defines material modifications, and establishes materiality thresholds for related party transactions requiring shareholder approval. Although it does not explicitly mention 'external' auditors, it highlights the need for review and documentation of related party transactions, implying that an external audit may be involved."
2025-02-26 00:55:39,TATAMOTORS,3,36,2,"Both the shareholding pattern and the top 10 shareholder names are mentioned in the annual report, specifically on pages 251 and 252 respectively."
2025-02-26 00:55:41,TATAMOTORS,3,37,0,No information available
