,run_time_stamp,company,category,que_no,score,justification
0,3/1/25 11:39,SHREECEM,1,4,0,"The report does not mention any board members belonging to lender groups. Hari Mohan Bangur, Prashant Bangur are marked as permanent board members but there is no indication that they are representatives of lenders. The other directors' reappointment dates or initial appointment dates fall within the last 5 years, making them non-permanent board members. No information available about their affiliations with lender groups."
1,3/1/25 11:39,SHREECEM,1,7,2,"Based on the provided information, it can be calculated that there is a gap of 128 days between the last financial year end (31st March 2024) and the last scheduled AGM (6th August 2024). This is less than 120 days, which falls under the criteria for scoring 2. The calculation was done by counting the number of days between March 31st and August 6th, 2024, which included 0 days in March, 30 days each in April, May, June, and July, and 6 days in August. This detailed calculation and reference to page numbers (Page 1 and Page 4) demonstrate a clear understanding of the time gap between FYE and AGM."
2,3/1/25 11:39,SHREECEM,1,10,2,"Shree Cement Limited has a policy addressing conflict of interest, specifically within its 'Ethics, Transparency and Accountability Policy and Code of Conduct'. The policy explicitly addresses potential conflicts arising from business dealings with stakeholders, political and charitable contributions. Although the policy does not explicitly address board cross-linkages or relationships with suppliers and vendors, it provides guidance on disclosing any perceived conflict and refraining from decision-making processes where such conflict exists. Additionally, based on the provided corporate governance report (page 3), as of December 31st, 2024, the Audit Committee does *not* include any executive directors or non-independent directors. The members listed are all Non-Executive Independent Directors. Furthermore, based on the Shree Cement Limited Annual Report (31st March 2024), there is no mention of linkages between key management personnel or board members and competitors. No information suggests that the company has incidents of stakeholder conflict of interest."
3,3/1/25 11:39,SHREECEM,1,12,2,"The ratio of royalty payments to related parties to the profit of the company is calculated as 0 (royalty transactions = **0**) divided by ₹400,07 crores (company's profit). Since this ratio is less than 0.1, according to the scoring criteria, we assign a score of 2."
4,3/1/25 11:39,SHREECEM,1,16,2,"The content suggests that there may be some opacity regarding the ultimate beneficiaries of shares held by certain individuals, as beneficial interest in shares is held by trusts/institutions (Shree Cement Limited Annual Report, page 170). However, it does not provide information about the internal distribution of shares within the promoter group to determine whether there is a pyramidal structure that disproportionately increases their voting power. The report also provides information about cross-entity holdings, listing subsidiaries and their percentage shareholdings in a relatively straightforward ownership structure (Shree Cement Limited Annual Report, page 177). There is no indication of complicated or circular ownership patterns. Overall, the content does not suggest that structures or mechanisms could violate minority stakeholders' rights."
5,3/1/25 11:40,SHREECEM,2,18,2,"The policies are publicly disclosed and the company has provided information on the number of employee accidents. The Occupational Health and Safety Policy outlines the company's commitment to providing a safe and healthy workplace for all its employees and workers across its operations. It details objectives encompassing compliance with legal requirements, continual improvement, risk management, and employee engagement. The policy also specifies that contractors and sub-contractors are responsible for ensuring necessary safety measures and safe working conditions for their own employees and workers. Additionally, the company provides health and safety training and training on the principles of non-discrimination and anti-harassment. Furthermore, the Corporate Environmental Policy and Sustainable Procurement Policy include provisions that extend to the company's suppliers and vendors in relation to health, safety and welfare. Although the report does not provide a clear distinction between 'accidents' and 'work-related injuries', it provides information on the number of employee accidents and labor fatalities."
6,3/1/25 11:40,SHREECEM,2,19,2,"The policy regarding sexual harassment at Shree Cement Limited has been publicly disclosed through the company's website and annual reports. The 'Prohibition of Sexual Harassment Policy' outlines measures to prevent sexual harassment, including establishing an Internal Committee for handling complaints, a process for making complaints, confidential investigation procedures, disciplinary actions for those found guilty, processes for addressing malicious accusations, provision for leave for victims, and annual reporting of sexual harassment cases. Additionally, the company has established Internal Complaints Committees (ICCs) at all operational locations to handle such complaints. The report states that no complaints or cases of sexual harassment were received during the current or previous reporting year (Integrated Annual Report 2023-24, page 138)."
7,3/1/25 11:40,SHREECEM,2,20,2,"Shree Cement has policies in place for both supplier/vendor selection and management. The 'Sustainable Procurement Policy' outlines the company's commitment to sustainable procurement practices, including criteria and processes for selecting suppliers. The policy is supported by the 'Supplier Code of Conduct', which sets expectations for suppliers regarding labor and human rights, health and safety, ethics and integrity, environmental impact, and product quality. The company also provides a mechanism for addressing non-compliance through its grievance mechanism. According to the document, this information was extracted from the company's website."
8,3/1/25 11:40,SHREECEM,2,21,2,"Based on the provided Shree Cement Limited Annual Report as of 31st March 2024, there is no indication whether the company has delayed the payment to any lenders. Additionally, the auditor's report and notes to financial statements do not mention any delayed payments to suppliers or vendors. The credit rating report also does not explicitly state that the company has made any delayed repayments to its lenders, creditors, or suppliers. However, it is noted that the auditor's report mentions undisputed statutory dues that had not been deposited as of March 31st, 2023 due to disputes, but this does not necessarily indicate delayed payments."
9,3/1/25 11:40,SHREECEM,2,22,0,"I could not make judgement, however content is : Yes, Shree Cement demonstrates a strong commitment to ethical practices and is clearly anti-corruption and anti-bribery, as evidenced by several policies on its website:

* **Anti-Bribery and Anti-Corruption Policy:** This policy explicitly states Shree Cement's ""commitment to zero tolerance towards any form of bribery or corruption.""  It outlines the company's approach to zero tolerance, emphasizing compliance with all applicable anti-bribery and anti-corruption laws and detailing appropriate actions against anyone found guilty of violating the policy.

* **Code of Conduct (Shree's way of doing Business):** This document reinforces the company's commitment to ethical practices, establishing a ""common minimum set of standards of behaviour"" for all employees.  It specifically addresses conflict of interest, personal conduct, and conduct with external stakeholders, including government officials, to prevent bribery and corruption.

In summary, the company's publicly available policies (""Anti-Bribery and Anti-Corruption Policy,"" and ""Code of Conduct (Shree's way of doing business)"") clearly indicate a commitment to strong ethical practices and a zero-tolerance stance on bribery and corruption.

Yes, several policies from Shree Cement Limited's website address ethics, core values, and expected ethical standards for employees and directors.  Specifically:

* **Ethics, Transparency and Accountability Policy and Code of Conduct:** This policy explicitly lays out the company's core principles and philosophy, which centers on trust built through ethical practices, transparency, and accountability to stakeholders.  It details ethical standards expected in all aspects of business conduct, both internally and externally.  It also includes a code of conduct with specific guidelines on behavior.

* **Anti-Bribery and Anti-Corruption Policy:** This policy directly addresses ethical standards by stating the company's zero-tolerance policy towards bribery and corruption. It outlines specific requirements and expected conduct regarding bribery, facilitation payments, kickbacks, and political and charitable contributions.

* **Code of Conduct (Shree's way of doing business):** This policy provides a detailed framework for ethical conduct in various situations, categorizing conduct into areas like conflicts of interest, personal conduct, workplace conduct, and interactions with external stakeholders.  It emphasizes ethical and courteous behavior in all dealings.

These three policies, taken together, paint a comprehensive picture of Shree Cement's commitment to ethical conduct and the expected behavior of all those associated with the company, including directors and employees.  They form the core of the company's ethical framework, as explicitly stated in the ""Ethics, Transparency and Accountability Policy and Code of Conduct"".

Yes, the Shree Cement Limited **Ethics, Transparency and Accountability Policy and Code of Conduct** addresses conflict of interest.  The policy, sourced from the company website, states the following under section 3.6, ""Conflict of Interest"":

>The employees of the Company shall avoid any activity or association that creates or appears to create a conflict between the personal interest and the Company's business interests. In general,
>• the employee shall ensure that if there is a perceived conflict of interest in a transaction, e.g. the vendor is “personally known” to individual, he/ she shall inform his/her interest to the team/ individual concerned and his/her manager and refrain from being part of the decision making process.
>• No employee shall indulge in any action that may be construed as conflict of interest. e.g. Insider trading, Personal investment in Business Partners/ Competition, etc. Each employee shall ensure that all policies of the Company dealing with conflict of interest are adhered to. e.g. employment of near relations, business dealing with friends and relatives, re-employment of ex- employees, etc.


The policy further elaborates on this by specifying examples of actions that constitute conflicts of interest and emphasizing the need for transparency and disclosure when such situations arise.

Yes, several policies from Shree Cement Limited's website address dealings with third parties:

**1. Anti-Bribery and Anti-Corruption Policy:** This policy explicitly states that it applies to ""all the directors and employees of SCL and/or its subsidiaries including those third parties who are working on behalf of SCL/ its subsidiaries"".  It further outlines specific requirements for interactions with third parties, including government representatives, emphasizing ethical and courteous conduct and prohibiting the use of third parties for acts of corruption or bribery.

**2. Code of Conduct (Shree's way of doing business):**  This policy includes a section on ""Third Parties"" specifying that the Code of Conduct applies to contractors, consultants, sub-contractors, agents, dealers, and other entities working for the company. It prohibits these third parties from offering or accepting bribes, kickbacks, and facilitation payments.  The company also commits to including anti-bribery and anti-corruption clauses in contracts with third parties.

**3. Stakeholder Engagement Policy:** While not directly about *dealing* with third parties, this policy recognizes that third parties (suppliers, vendors, etc.) are stakeholders and must be engaged with.  The policy outlines processes for identifying and prioritizing stakeholders, including those in the supply chain, emphasizing open and transparent communication.

In summary, Shree Cement Limited demonstrates a clear awareness of the need to manage its relationships with third parties ethically and transparently across multiple policies.

Yes, several policies from Shree Cement Limited's website mention compliance with laws and regulations.  Here are a few examples:

* **Anti-Bribery and Anti-Corruption Policy:** This policy explicitly states that ""As an organization, SCL shall ensure that it complies with all the applicable anti-bribery and anti-corruption laws.""

* **Corporate Environmental Policy:** This policy emphasizes compliance with  ""all the applicable environmental laws, regulations and legislations.""

* **Board Diversity Policy:** This policy mentions compliance with the ""provisions of the Securities and Exchange Board of India (Listing Obligations and Disclosure Requirements) Regulations, 2015.""

* **Code of Conduct (Shree's way of doing business):** This code requires employees to comply with ""all applicable laws of the territory in which SCL has its operations including the internal policies and procedures notified by SCL.""

* **Policy on Related Party Transactions:** This policy explicitly states that it ensures compliance with  ""the applicable laws"" and the ""Companies Act, 2013 and Rules made thereunder"".

* **Tax Policy of Shree Cement Limited:** This policy is explicitly about ensuring ""compliance with the applicable tax laws and regulations"".

* **Sustainable Procurement Policy:** This policy highlights the need to ""Comply with all the applicable laws, and regulatory requirements.""

* **Occupational Health and Safety Policy:**  This policy states that the company will ""Comply with all applicable legal, and other regulatory requirements.""

* **Human Rights Policy:** This policy states that SCL conducts its operations consistent with ""the applicable local and international frameworks, laws and guidelines governing the human rights"".


Therefore, compliance with relevant laws and regulations is a recurring theme across multiple policies of Shree Cement Limited, as shown on their website.

Yes, the **Information Security Policy** from Shree Cement's website addresses the protection of assets and information management.  Specifically, it states:

""The purpose of this Policy is to maintain security and confidentiality of information assets owned by Shree Cement.""

The policy then outlines several principles to achieve this, including:

* Protecting confidential information from unauthorized access, use, disclosure, modification, and disposal.
* Implementing strong information management systems.
* Implementing an effective information security risk management framework.
* Protecting end points through data leakage prevention.
* Building and maintaining a secure network.


Therefore, the Information Security Policy explicitly covers the protection of information assets and incorporates information management practices as a core component.

Yes, several policies from Shree Cement Limited's website mention disciplinary action for non-compliance with their ethics codes.  Here are some examples:

* **Code of Conduct (Shree's way of doing Business):** This policy states that failure to comply with the code will result in disciplinary action.  The policy also explicitly mentions that non-awareness of the policy is not an excuse.

* **Ethics, Transparency and Accountability Policy and Code of Conduct:**  This policy states that violation of the principles and directives outlined within may result in ""serious consequences,"" including disciplinary action and even termination of employment.

* **Information Security Policy:** This policy explicitly states that failure to comply with its information security procedures will result in disciplinary action.

Therefore, multiple policies from Shree Cement Limited's website clearly indicate that disciplinary action is a possible consequence of not adhering to their respective codes of conduct and ethical guidelines.

Yes, the **Anti-Bribery and Anti-Corruption Policy** (extracted from the Shree Cement Limited website) clearly states that the company is committed to zero tolerance towards any form of bribery or corruption.


The policy outlines the company's approach to zero tolerance towards bribery and corruption and its position on the same.  It explicitly states that Shree Cement Limited will ensure compliance with all applicable anti-bribery and anti-corruption laws and will take appropriate action against anyone found guilty of violating the policy.


While the document does not explicitly detail *specific* measures, it *implies* several anti-bribery and anti-corruption measures through its policy requirements, which include:

* **Prohibition of bribery, facilitation payments, and kickbacks:**  The policy explicitly forbids offering, promising, or accepting bribes, facilitation payments, or kickbacks of any kind. It also prohibits hiring third parties to engage in corrupt activities on their behalf.

* **Ethical dealings with third parties:** The policy mandates ethical and courteous interactions with third parties, including government representatives.

* **Restrictions on political and charitable contributions:** The policy regulates political contributions, allowing them only in compliance with applicable laws and with board approval, and requires disclosure of all charitable and political donations.

* **Record-keeping:**  The policy emphasizes maintaining accurate and transparent books and records to prevent the possibility of bribery.

* **Disciplinary actions:** The policy clearly states that appropriate actions will be taken against any persons covered by the policy who are found guilty of violating its provisions.


Therefore, while the policy doesn't list a detailed step-by-step action plan, the overall framework indicates a comprehensive approach to preventing and addressing bribery and corruption.

Based on the provided Shree Cement Limited policies extracted from their website, there is no mention of the company being a signatory to any well-known global anti-corruption framework or code of ethical conduct.  The ""Anti-Bribery and Anti-Corruption Policy"" outlines the company's internal commitment and procedures to combat bribery and corruption, but doesn't state adherence to any external frameworks.
"
